happylife,obama,democratic,republican,supremecourt,africandisc,hispanicdisc,discgaylesbian ,discwomen,discmuslimam,finances,gaymarriage,gayadaptchild,howoftenvote,party,ideology,gender,maritalstatus,martialstatusr,sexualorientation,transgender,lgbtstatus,agelgbtdoubt,agelgbtsure,friendlgbt,toldmomlgbt,difficultmom,aftertoldmom,tolddadlgbt,difficultdad,aftertolddad,toldfriendlgbt,agecategory,agecategoryr,education,educationr,ethnicity,householdhead,householdsize,residence,income2012,religion,religionimportance,christian,lgbtproblems,lgbtsocialacceptance,lgbtacceptancetenyearsago,lgbttenyearsfromnow,lgbtdemocrat,lgbtrepublican,lgbtobama,lgbtentertainment,lgbtmedia,lgbtprofsport,lgbtmilitrary,\lgbtfriendly,lgbtfriendlyp,lgbtacceptone,lgbtaccepttwo,lgbtacceptthree,lgbtacceptfour,lgbtacceptfive,lgbtacceptsix,lgbtaccepttotal,lgbtacceptp,gaysocaccept,lesbiansocaccept,bimensocaccept,biwomensocaccept,transgendersocacc,lgbtsocaccepttotal,lgbtsocacceptp,lgbtfriendly1,lgbtfriendly2,lgbtfriendly2,lgbtfriendly4,lgbtfriendly5,lgbtfriendly6,lgbtfriendlytotal,lgbtfriendlytotalp,religeousconflict,religeousconflictlevel,lgbtaccepttown,livelgbtneighborhood,closefriendlgbt,lgbtpolicy1,lgbtpolicy2,lgbtpolicy3,lgbtpolicy4,lgbtpolicy5,lgbtpolicy6,lgbtpolicy7,lgbtpolicytotal,lgbtpolicyp,physicalattack,slursjokes,poorservice,churchunwelcome,unfairemployment,rejectfamily,lgbtdiscrimination,lgbtdiscriminationp,lgbtsuppoort1,lgbtsupport2,lgbtsupport3,lgbtsupport4,lgbtsupport5,lgbtsupport6,lgbtsupporttotal,lgbtsupportp,lgbtsocialnetwork,reveallgbtsocialnetwork,liketomarry,relationtype,legalcivilunion,childguardian,havechildunder18,spousechildrenunder18,childinyourhome,liketohavechild,employment,workplaceacceptance,workplaceknoworientation,Usborn,minorinhousehold
happy,very unfavorable,very unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, some,good,oppose,oppose,nearly always,independent,moderate,female,never married,alone,bisexual,no,mostly females,13,NA,18,yes,no,no change,yes,no,no change,yes,forty five to fifty four,forty five to fifty four,some college,some college,white,yes,1,own,forty to fifty,protestant,somewhat important,NA,discrimination,none at all,none at all,none at all,3,NA,3,3,3,2,3,NA,NA,3,3,3,3,3,2,17,92,3,3,2,3,2,13,80,1,2,2,1,1,2,9,25,no,NA,a lot,no,some,1,2,2,2,2,2,2,13,29,2,2,2,2,1,2,11,42,2,2,2,2,2,2,12,50,not regularly,yes,not sure,NA,NA,yes,no,NA,NA,NA,full time,very accepting,some,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, some,poor,strongly oppose,strongly oppose,nearly always,democrat,liberal,male,never married,alone,gay,no,males,13,14,14,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,some college,some college,white,yes,1,own,less than twenty,nothing,not at all mportant,yes,religeous rights,only a little,none at all,none at all,3,1,3,3,3,1,2,16,64,3,3,3,3,3,2,17,92,3,3,3,3,2,14,90,3,1,1,1,1,1,8,17,no,NA,a lot,no,a few,2,1,2,2,2,2,2,13,29,2,2,1,3,1,2,11,42,1,3,3,1,1,1,10,33,not regularly,NA,yes,NA,NA,no,NA,NA,NA,NA,unemployed,NA,NA,yes,no
not too happy,mostly unfavorable,very unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, a lot, a lot,excellent,strongly oppose,strongly oppose,always,democrat,liberal,female,married,married,bisexual,no,males and females,18,18,19,no,NA,NA,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,3,own,thirty to forty,protestant,somewhat important,NA,discrimination,only a little,only a little,only a little,2,1,2,1,1,1,1,9,14,2,1,3,3,3,2,14,67,2,3,2,1,1,9,40,1,1,1,1,1,2,7,8,no,NA,some,no,a few,1,1,1,1,1,1,1,7,0,1,1,1,1,1,1,6,0,1,1,1,2,2,1,8,17,regularly,no,NA,legally married,NA,yes,yes,NA,yes,NA,part time,very accepting,none,yes,yes
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, some, a lot,only fair,strongly oppose,strongly oppose,always,democrat,liberal,male,never married,alone,gay,no,males,9,17,22,yes,yes,weaker,yes,yes,grew weaker,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,1,own,less than twenty,other,not at all mportant,no,legal rights,only a little,only a little,only a little,3,1,3,3,3,1,1,15,57,3,3,3,3,3,1,16,83,3,3,3,3,3,15,100,1,1,2,1,1,1,7,8,no,NA,some,no,all or most,1,1,2,2,1,1,2,10,14,1,2,2,2,1,2,10,33,2,3,2,2,2,3,14,67,not regularly,NA,yes,NA,NA,no,NA,NA,NA,yes,retired,NA,NA,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, some, some, a lot,excellent,strongly oppose,strongly oppose,always,democrat,liberal,female,living with partner,living with partner,lesbian,no,females,10,18,31,yes,no,no change,yes,no,no change,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,2,own,more than hundred fifty,other,not too  important,NA,discrimination,only a little,none at all,none at all,2,1,2,2,2,1,1,11,29,3,3,3,3,3,3,18,100,3,3,2,3,1,12,70,1,1,3,1,1,3,10,33,no,NA,a lot,no,some,2,2,2,2,2,2,1,13,29,1,1,1,1,1,1,6,0,2,2,2,2,2,2,12,50,not regularly,yes,not sure,NA,yes,no,NA,no,NA,no,full time,very accepting,most or all,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, some, some, some,poor,strongly oppose,strongly oppose,always,NA,very liberal,male,never married,alone,gay,no,males,14,19,20,yes,yes,no change,yes,yes,no change,yes,seventy five plus,sixty five plus,bachelor or higher,bachelor or higher,white,yes,1,own,less than twenty,agnostic,not too  important,NA,transgender,none at all,none at all,none at all,3,1,3,3,2,1,1,14,50,3,3,3,3,3,2,17,92,3,3,3,3,2,14,90,1,1,2,1,1,1,7,8,no,NA,a lot,no,some,1,2,2,2,2,1,2,12,24,1,1,1,1,1,2,7,8,2,1,1,2,2,1,9,25,regularly,yes,not sure,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,excellent,strongly oppose,strongly oppose,always,republican,moderate,male,never married,alone,gay,no,males,16,30,NA,no,NA,NA,NA,NA,NA,no,fifty five to sixty four,fifty five to sixty four,some college,some college,white,yes,1,own,fifty to seventy five,protestant,somewhat important,NA,discrimination,only a little,only a little,none at all,3,1,3,3,2,1,2,15,57,3,2,3,3,3,1,15,75,3,3,2,2,1,11,60,2,2,2,1,1,3,11,42,no,NA,a little,no,a few,2,1,NA,2,1,1,2,NA,NA,1,2,1,1,3,2,10,33,2,3,3,1,2,2,13,58,not regularly,NA,not sure,NA,NA,no,NA,NA,NA,not sure,full time,somewhat accepting,a few,yes,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, a lot, some,excellent,strongly oppose,oppose,nearly always,democrat,moderate,male,never married,alone,gay,no,males,5,16,NA,no,NA,NA,no,NA,NA,no,sixty five to seventy four,sixty five plus,bachelor or higher,bachelor or higher,white,yes,1,own,hundred to hundred fifty,protestant,not too  important,NA,discrimination,only a little,none at all,none at all,3,1,3,3,3,2,2,17,71,3,3,3,2,3,2,16,83,3,3,3,3,2,14,90,1,1,2,1,1,3,9,25,no,NA,a lot,yes,all or most,2,1,2,2,2,2,2,13,29,1,2,1,1,1,1,7,8,1,2,2,1,1,1,8,17,not regularly,no,yes,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, a lot,good,strongly oppose,strongly oppose,always,democrat,moderate,female,married,married,bisexual,no,males,24,28,NA,no,NA,NA,NA,NA,NA,no,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,Black,yes,4,own,seventy five to hundred,protestant,somewhat important,NA,legal rights,only a little,none at all,none at all,3,1,3,3,2,2,1,15,57,3,3,2,NA,3,3,NA,NA,3,1,3,1,3,11,60,1,1,1,1,1,1,6,0,yes,a lot,a lot,no,some,1,1,1,2,1,1,2,9,10,1,1,1,1,1,1,6,0,1,1,1,1,NA,1,NA,NA,not regularly,no,NA,legally married,NA,yes,yes,NA,yes,NA,full time,very accepting,none,yes,yes
happy,mostly unfavorable,very unfavorable,mostly unfavorable,mostly unfavorable, a lot, some, a lot, some, some,good,oppose,oppose,nearly always,democrat,liberal,female,never married,alone,trans gender,yes,males,NA,23,23,no,NA,NA,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,Black,yes,2,own,less than twenty,catholic,very important,NA,sterotyping,none at all,none at all,none at all,2,1,3,3,2,1,2,14,50,2,2,3,2,2,2,13,58,1,1,2,1,2,7,20,1,1,1,1,2,1,7,8,yes,a lot,some,no,some,2,2,1,2,2,2,2,13,29,1,2,2,2,2,2,11,42,2,2,2,1,1,2,10,33,not regularly,yes,yes,NA,NA,no,NA,NA,NA,not sure,part time,somewhat accepting,some,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, a lot, some, a lot, some, a lot,poor,oppose,oppose,nearly always,democrat,liberal,female,never married,alone,bisexual,no,males and females,14,19,NA,yes,no,no change,no,NA,NA,no,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,Black,yes,5,own,less than twenty,protestant,somewhat important,NA,conservativeaids,only a little,only a little,NA,2,1,2,3,2,1,1,12,36,2,3,3,2,3,3,16,83,2,3,1,1,1,8,30,1,1,1,1,1,1,6,0,no,NA,a little,no,a few,2,2,2,2,2,2,1,13,29,1,2,3,1,1,1,9,25,1,1,1,1,1,1,6,0,not regularly,yes,not sure,NA,NA,no,NA,NA,NA,not sure,full time,somewhat accepting,none,yes,yes
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,excellent,strongly oppose,strongly oppose,nearly always,democrat,liberal,female,living with partner,living with partner,lesbian,no,females,16,18,30,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,2,own,more than hundred fifty,protestant,somewhat important,NA,sterotyping,none at all,none at all,none at all,3,1,3,3,3,1,1,15,57,3,3,2,3,3,1,15,75,1,1,2,2,2,8,30,1,1,2,1,1,3,9,25,no,NA,a lot,no,some,2,1,1,1,2,2,1,10,14,1,2,1,2,1,1,8,17,2,3,3,1,1,3,13,58,not regularly,NA,not sure,NA,no,no,NA,no,NA,NA,retired,NA,NA,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, a lot, some, some, a lot,good,strongly oppose,strongly oppose,always,NA,moderate,female,living with partner,living with partner,lesbian,no,mostly females,24,24,24,yes,yes,stronger,yes,yes,grew stronger,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,no,2,own,seventy five to hundred,other,not at all mportant,no,discrimination,only a little,only a little,only a little,3,1,3,2,2,1,1,13,43,3,2,3,3,3,1,15,75,3,3,2,2,2,12,70,1,1,3,1,1,2,9,25,no,NA,a lot,no,a few,1,1,1,2,2,1,1,9,10,1,3,2,2,1,2,11,42,3,3,3,2,2,3,16,83,regularly,yes,yes,NA,yes,no,NA,no,NA,no,full time,somewhat accepting,most or all,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,good,oppose,oppose,always,democrat,moderate,male,never married,alone,gay,no,mostly males,36,39,NA,no,NA,NA,no,NA,NA,no,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,1,own,fifty to seventy five,catholic,somewhat important,NA,NA,only a little,only a little,only a little,3,1,3,3,2,1,1,14,50,3,2,2,3,3,2,15,75,3,3,3,3,2,14,90,2,1,1,1,1,3,9,25,yes,a lot,a little,no,a few,2,2,2,1,2,2,1,12,24,1,2,1,1,1,1,7,8,1,1,1,1,2,1,7,8,not regularly,yes,not sure,NA,NA,no,NA,NA,NA,not sure,full time,somewhat accepting,none,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, a lot, a lot,only fair,strongly oppose,strongly oppose,nearly always,democrat,liberal,female,living with partner,living with partner,lesbian,no,females,16,19,19,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,some college,some college,white,yes,2,own,seventy five to hundred,protestant,not too  important,NA,religeous rights,only a little,only a little,only a little,2,1,2,3,2,1,1,12,36,3,2,3,3,3,2,16,83,3,3,3,3,2,14,90,2,1,2,1,1,1,8,17,yes,a little,some,no,some,1,2,2,2,1,1,2,11,19,1,2,1,1,1,1,7,8,2,3,3,2,2,3,15,75,not regularly,no,not sure,NA,yes,yes,no,no,NA,NA,full time,somewhat accepting,most or all,yes,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, a lot,excellent,strongly oppose,strongly oppose,always,democrat,very liberal,female,living with partner,living with partner,lesbian,no,females,36,36,36,yes,yes,no change,NA,NA,NA,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,Hispanic,yes,3,own,more than hundred fifty,nothing,not too  important,no,marital rights,only a little,none at all,none at all,3,1,3,3,3,1,1,15,57,3,2,3,3,3,2,16,83,2,3,2,3,2,12,70,1,1,1,1,1,3,8,17,no,NA,a lot,no,all or most,1,1,1,1,1,1,2,8,5,1,1,1,1,1,1,6,0,1,1,3,3,3,3,14,67,not regularly,no,yes,NA,no,yes,no,no,NA,NA,full time,very accepting,a few,yes,no
happy,mostly unfavorable,very unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, some, a lot,good,strongly oppose,strongly oppose,always,democrat,very liberal,male,never married,alone,gay,no,males,12,15,15,yes,yes,no change,yes,yes,no change,yes,eighteen to twenty four,eighteen to twenty four,bachelor or higher,bachelor or higher,white,yes,3,own,forty to fifty,nothing,not at all mportant,no,marital rights,only a little,none at all,none at all,2,1,2,2,2,1,1,11,29,3,3,3,3,3,2,17,92,3,3,3,1,1,11,60,1,1,2,1,1,2,8,17,no,NA,a little,no,a few,1,1,1,1,2,1,1,8,5,1,2,1,2,1,1,8,17,3,1,3,1,3,3,14,67,regularly,yes,yes,NA,NA,no,NA,NA,NA,yes,full time,very accepting,most or all,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,only fair,strongly oppose,strongly oppose,nearly always,democrat,liberal,male,never married,alone,gay,no,males,12,18,21,yes,no,no change,yes,yes,no change,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,1,own,thirty to forty,agnostic,not at all mportant,NA,marital rights,only a little,none at all,none at all,2,1,3,3,2,1,2,14,50,3,2,3,2,3,1,14,67,1,1,3,3,2,10,50,2,1,2,1,1,2,9,25,no,NA,some,no,a few,1,1,1,1,1,1,2,8,5,1,2,2,1,1,1,8,17,2,1,2,2,3,2,12,50,not regularly,yes,yes,NA,NA,no,NA,NA,NA,not sure,full time,somewhat accepting,a few,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, a lot, a lot,good,strongly oppose,strongly oppose,always,democrat,liberal,male,never married,alone,gay,no,males,14,18,22,yes,no,stronger,NA,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,1,own,twenty to thirty,protestant,somewhat important,NA,marital rights,only a little,only a little,none at all,3,1,3,3,2,3,3,18,79,3,2,3,3,3,1,15,75,3,3,3,3,2,14,90,1,1,2,2,2,2,10,33,no,NA,some,no,a few,1,1,1,2,2,2,2,11,19,1,3,1,1,1,2,9,25,2,3,3,2,2,2,14,67,not regularly,yes,yes,NA,NA,no,NA,NA,NA,not sure,full time,very accepting,most or all,yes,no
happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, some, some, some, some, some,good,strongly oppose,strongly oppose,always,independent,liberal,male,married,married,bisexual,no,males,16,20,NA,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,4,own,seventy five to hundred,catholic,very important,NA,sterotyping,only a little,only a little,none at all,2,1,2,3,2,1,1,12,36,3,3,3,3,3,1,16,83,3,3,3,3,2,14,90,3,1,2,1,1,2,10,33,yes,a lot,a little,no,a few,1,1,1,1,1,1,1,7,0,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,NA,NA,legally married,NA,yes,no,no,NA,NA,full time,not so  accepting,none,yes,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, some, a lot,excellent,strongly oppose,strongly oppose,always,democrat,very liberal,female,never married,alone,bisexual,no,females,15,21,22,yes,no,no change,NA,NA,NA,yes,sixty five to seventy four,sixty five plus,bachelor or higher,bachelor or higher,white,yes,5,own,more than hundred fifty,catholic,not too  important,NA,legal rights,none at all,none at all,none at all,3,1,3,3,2,1,2,15,57,3,3,2,3,3,2,16,83,3,3,2,2,2,12,70,1,1,2,1,1,2,8,17,yes,a lot,a little,no,some,1,1,1,2,1,2,2,10,14,1,1,1,1,1,1,6,0,1,3,3,3,2,3,15,75,not regularly,no,no,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, a lot, a lot,only fair,strongly oppose,strongly oppose,nearly always,independent,moderate,female,divorced,alone,bisexual,no,males and females,35,35,35,yes,yes,no change,no,NA,NA,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,1,own,forty to fifty,nothing,not at all mportant,yes,discrimination,only a little,none at all,none at all,3,1,3,3,2,1,1,14,50,3,2,3,3,3,2,16,83,3,1,3,1,2,10,50,1,1,2,1,1,2,8,17,no,NA,some,no,some,2,2,2,2,2,2,2,14,33,1,1,1,1,1,1,6,0,1,3,3,1,1,1,10,33,not regularly,no,not sure,NA,NA,yes,no,NA,NA,NA,full time,very accepting,some,yes,no
not too happy,very unfavorable,very unfavorable,very unfavorable,mostly unfavorable, a lot, some, a lot, some, some,good,strongly oppose,strongly oppose,always,democrat,liberal,male,living with partner,living with partner,gay,no,males,17,18,18,yes,yes,stronger,yes,yes,grew stronger,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,2,own,fifty to seventy five,agnostic,not at all mportant,NA,discrimination,only a little,only a little,none at all,3,1,3,3,3,1,1,15,57,3,2,3,3,3,1,15,75,3,3,2,2,2,12,70,1,1,2,1,1,2,8,17,yes,a lot,a lot,yes,some,1,1,1,1,1,1,1,7,0,2,3,2,1,1,2,11,42,3,3,3,2,2,3,16,83,regularly,yes,yes,NA,no,no,NA,no,NA,NA,full time,very accepting,most or all,no,no
happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, some,good,oppose,strongly oppose,always,republican,conservative,male,divorced,alone,bisexual,no,females,24,NA,NA,no,NA,NA,no,NA,NA,no,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,no,2,own,fifty to seventy five,nothing,not at all mportant,no,discrimination0,only a little,only a little,only a little,3,2,3,3,3,2,2,18,79,3,2,2,2,2,1,12,50,3,1,3,1,3,11,60,1,1,2,1,1,3,9,25,no,NA,a lot,no,a few,2,1,2,1,2,2,2,12,24,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,NA,yes,NA,NA,yes,yes,NA,yes,NA,full time,very accepting,none,yes,yes
not too happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, some, some, a lot,poor,strongly oppose,strongly oppose,always,independent,very liberal,male,never married,alone,gay,no,males,11,11,NA,NA,NA,NA,no,NA,NA,yes,seventy five plus,sixty five plus,bachelor or higher,bachelor or higher,white,yes,1,own,less than twenty,other,very important,NA,NA,only a little,only a little,none at all,3,1,3,2,2,2,2,15,57,3,3,3,3,3,2,17,92,1,1,3,3,2,10,50,1,1,2,2,1,2,9,25,no,NA,a lot,no,some,1,1,1,1,1,1,2,8,5,1,1,1,1,1,2,7,8,1,1,1,2,1,1,7,8,not regularly,NA,not sure,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, some, some, some,good,strongly oppose,strongly oppose,always,democrat,liberal,male,widowed,alone,gay,no,males,17,20,30,no,NA,NA,yes,no,no change,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,1,own,seventy five to hundred,nothing,not at all mportant,no,self esteem,only a little,only a little,none at all,3,1,3,2,3,1,2,15,57,3,3,3,3,3,3,18,100,3,1,3,3,1,11,60,1,1,1,1,1,1,6,0,no,NA,a lot,yes,some,1,1,2,1,1,1,1,8,5,1,1,1,1,1,1,6,0,3,3,3,2,3,3,17,92,not regularly,yes,yes,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,mostly unfavorable,very unfavorable,very unfavorable,mostly unfavorable, some, a lot, a lot, a lot, a lot,only fair,strongly oppose,strongly oppose,always,democrat,moderate,female,living with partner,living with partner,lesbian,no,females,13,14,16,yes,no,stronger,NA,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,Other,yes,2,own,thirty to forty,protestant,very important,NA,acceptance,only a little,only a little,only a little,2,1,3,3,2,1,1,13,43,3,2,2,2,2,2,13,58,2,3,2,3,2,12,70,2,1,1,1,1,NA,NA,NA,yes,a lot,a little,yes,some,2,2,2,2,2,2,1,13,29,1,2,1,3,1,1,9,25,3,1,1,2,2,2,11,42,not regularly,yes,yes,NA,yes,NA,NA,no,NA,yes,full time,somewhat accepting,most or all,yes,no
happy,mostly unfavorable,very unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,only fair,strongly oppose,strongly oppose,always,democrat,conservative,female,married,married,bisexual,no,mostly males,19,30,30,no,NA,NA,yes,yes,no change,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,5,own,thirty to forty,NA,not too  important,yes,discrimination,only a little,only a little,only a little,2,1,2,3,2,1,2,13,43,3,2,3,3,2,2,15,75,3,1,2,1,2,9,40,2,1,2,1,1,1,8,17,yes,a little,a lot,no,some,2,1,1,2,1,2,2,11,19,1,2,1,1,2,2,9,25,1,2,3,2,2,1,11,42,not regularly,yes,NA,legally married,NA,yes,yes,NA,yes,NA,full time,somewhat accepting,some,yes,yes
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,poor,strongly oppose,strongly oppose,always,democrat,very liberal,male,divorced,alone,gay,no,males,8,15,38,yes,yes,stronger,yes,yes,grew stronger,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,1,own,forty to fifty,protestant,very important,NA,legal rights,none at all,none at all,none at all,3,1,3,1,3,1,2,14,50,3,2,3,NA,3,3,NA,NA,1,1,3,3,2,10,50,1,1,3,1,1,3,10,33,no,NA,a lot,yes,a few,2,1,2,1,1,1,2,10,14,1,2,1,2,1,2,9,25,2,3,2,3,3,3,16,83,regularly,yes,not sure,NA,NA,yes,no,NA,NA,NA,full time,very accepting,most or all,yes,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,excellent,strongly oppose,strongly oppose,always,republican,moderate,male,living with partner,living with partner,gay,no,males,12,30,34,yes,yes,stronger,yes,yes,no change,yes,sixty five to seventy four,sixty five plus,bachelor or higher,bachelor or higher,white,yes,2,own,more than hundred fifty,other,not too  important,NA,discrimination,only a little,only a little,none at all,3,1,3,3,3,1,2,16,64,3,3,3,2,3,2,16,83,3,3,2,3,2,13,80,1,1,2,1,1,3,9,25,no,NA,some,no,all or most,1,1,2,2,2,2,2,12,24,1,1,2,1,1,1,7,8,3,2,3,1,3,2,14,67,not regularly,NA,yes,NA,yes,yes,no,no,NA,NA,retired,NA,NA,yes,no
not too happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,good,oppose,oppose,always,democrat,liberal,female,divorced,alone,bisexual,no,mostly males,35,50,NA,yes,no,no change,NA,NA,NA,yes,seventy five plus,sixty five plus,bachelor or higher,bachelor or higher,white,yes,1,own,thirty to forty,agnostic,not at all mportant,NA,transgender,none at all,none at all,none at all,3,1,3,3,2,2,2,16,64,3,3,3,2,3,3,17,92,3,1,1,1,3,9,40,1,1,2,1,1,2,8,17,no,NA,a lot,no,some,1,1,1,2,2,1,1,9,10,1,1,1,1,1,1,6,0,3,2,1,2,2,1,11,42,not regularly,NA,not sure,NA,NA,yes,no,NA,NA,NA,part time,very accepting,most or all,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,very unfavorable,NA, a lot, a lot, a lot, a lot,NA,strongly oppose,strongly oppose,always,democrat,liberal,female,NA,NA,lesbian,no,NA,9,9,9,no,NA,NA,no,NA,NA,yes,seventy five plus,sixty five plus,bachelor or higher,bachelor or higher,white,yes,1,own,less than twenty,nothing,not at all mportant,no,acceptance,only a little,none at all,none at all,2,1,3,2,2,1,1,12,36,2,3,3,3,3,2,16,83,2,3,3,NA,3,NA,NA,1,1,3,1,1,1,8,17,yes,a lot,a little,no,a few,1,1,1,1,1,1,1,7,0,2,2,2,2,3,2,13,58,2,3,3,3,3,3,17,92,not regularly,no,NA,NA,NA,yes,no,NA,NA,NA,retired,NA,NA,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, some,only fair,strongly oppose,strongly oppose,always,democrat,liberal,male,married,married,bisexual,no,mostly females,13,19,21,yes,no,stronger,no,NA,NA,yes,sixty five to seventy four,sixty five plus,bachelor or higher,bachelor or higher,white,yes,2,own,forty to fifty,agnostic,not at all mportant,NA,NA,only a little,none at all,none at all,3,1,3,3,2,2,2,16,64,3,3,3,3,3,2,17,92,3,3,3,3,3,15,100,1,1,3,1,1,3,10,33,no,NA,none,no,some,2,1,2,2,2,2,2,13,29,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,NA,legally married,NA,yes,no,no,NA,NA,retired,NA,NA,yes,no
not too happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, some, some, some, some, some,good,strongly oppose,strongly oppose,always,NA,moderate,female,married,married,bisexual,no,males and females,11,31,33,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,4,own,fifty to seventy five,agnostic,somewhat important,NA,acceptance,only a little,only a little,only a little,2,1,2,3,2,1,2,13,43,3,2,3,3,2,2,15,75,3,3,3,3,2,14,90,1,1,2,1,1,1,7,8,no,NA,some,no,some,1,1,1,2,1,2,2,10,14,1,1,1,1,1,1,6,0,2,3,3,1,2,3,14,67,not regularly,no,NA,legally married,NA,yes,yes,NA,yes,NA,unemployed,NA,NA,yes,yes
