happylife,obama,democratic,republican,supremecourt,africandisc,hispanicdisc,discgaylesbian ,discwomen,discmuslimam,finances,gaymarriage,gayadaptchild,howoftenvote,party,ideology,gender,maritalstatus,martialstatusr,sexualorientation,transgender,lgbtstatus,agelgbtdoubt,agelgbtsure,friendlgbt,toldmomlgbt,difficultmom,aftertoldmom,tolddadlgbt,difficultdad,aftertolddad,toldfriendlgbt,agecategory,agecategoryr,education,educationr,ethnicity,householdhead,householdsize,residence,income2012,religion,religionimportance,christian,lgbtproblems,lgbtsocialacceptance,lgbtacceptancetenyearsago,lgbttenyearsfromnow,lgbtdemocrat,lgbtrepublican,lgbtobama,lgbtentertainment,lgbtmedia,lgbtprofsport,lgbtmilitrary,\lgbtfriendly,lgbtfriendlyp,lgbtacceptone,lgbtaccepttwo,lgbtacceptthree,lgbtacceptfour,lgbtacceptfive,lgbtacceptsix,lgbtaccepttotal,lgbtacceptp,gaysocaccept,lesbiansocaccept,bimensocaccept,biwomensocaccept,transgendersocacc,lgbtsocaccepttotal,lgbtsocacceptp,lgbtfriendly1,lgbtfriendly2,lgbtfriendly2,lgbtfriendly4,lgbtfriendly5,lgbtfriendly6,lgbtfriendlytotal,lgbtfriendlytotalp,religeousconflict,religeousconflictlevel,lgbtaccepttown,livelgbtneighborhood,closefriendlgbt,lgbtpolicy1,lgbtpolicy2,lgbtpolicy3,lgbtpolicy4,lgbtpolicy5,lgbtpolicy6,lgbtpolicy7,lgbtpolicytotal,lgbtpolicyp,physicalattack,slursjokes,poorservice,churchunwelcome,unfairemployment,rejectfamily,lgbtdiscrimination,lgbtdiscriminationp,lgbtsuppoort1,lgbtsupport2,lgbtsupport3,lgbtsupport4,lgbtsupport5,lgbtsupport6,lgbtsupporttotal,lgbtsupportp,lgbtsocialnetwork,reveallgbtsocialnetwork,liketomarry,relationtype,legalcivilunion,childguardian,havechildunder18,spousechildrenunder18,childinyourhome,liketohavechild,employment,workplaceacceptance,workplaceknoworientation,Usborn,minorinhousehold
not too happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,excellent,oppose,oppose,always,democrat,moderate,male,never married,alone,bisexual,no,males and females,16,30,NA,no,NA,NA,no,NA,NA,no,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,1,own,twenty to thirty,protestant,somewhat important,NA,discrimination,only a little,none at all,none at all,3,1,3,3,2,1,1,14,50,3,3,2,2,3,2,15,75,3,3,3,3,3,15,100,1,1,2,1,1,2,8,17,no,NA,some,no,a few,2,2,2,1,2,2,2,13,29,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,yes,not sure,NA,NA,no,NA,NA,NA,NA,part time,not so  accepting,none,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, some, some,good,strongly oppose,strongly oppose,always,democrat,moderate,male,never married,alone,gay,no,males,12,16,18,no,NA,NA,no,NA,NA,yes,sixty five to seventy four,sixty five plus,bachelor or higher,bachelor or higher,white,yes,1,own,seventy five to hundred,catholic,not too  important,NA,discrimination,only a little,none at all,none at all,3,1,3,3,3,1,1,15,57,3,3,3,3,3,3,18,100,3,3,2,2,2,12,70,1,1,2,1,1,2,8,17,yes,a lot,a little,no,some,1,1,2,1,1,2,2,10,14,2,2,1,2,2,2,11,42,2,2,2,2,2,2,12,50,not regularly,no,not sure,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
not too happy,very unfavorable,very unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, a lot, a lot,good,strongly oppose,strongly oppose,always,democrat,very liberal,male,never married,alone,gay,no,males,6,12,21,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,1,own,hundred to hundred fifty,nothing,not at all mportant,no,self esteem,only a little,none at all,none at all,3,1,NA,3,3,1,2,NA,NA,3,3,3,3,3,3,18,100,2,2,3,3,2,12,70,1,1,2,1,1,2,8,17,no,NA,some,yes,all or most,2,1,2,1,2,1,2,11,19,2,2,1,1,2,1,9,25,3,3,2,NA,3,3,NA,NA,not regularly,no,not sure,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, a lot, some,only fair,strongly oppose,strongly oppose,always,democrat,liberal,male,never married,alone,gay,no,males,14,18,25,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,1,own,less than twenty,agnostic,not at all mportant,NA,conservative,only a little,none at all,none at all,3,1,3,3,2,1,2,15,57,3,3,3,3,2,2,16,83,3,3,3,3,2,14,90,1,1,2,1,1,2,8,17,no,NA,a lot,no,some,2,1,2,2,2,2,2,13,29,2,3,1,2,2,2,12,50,3,3,3,3,3,3,18,100,regularly,NA,not sure,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, some, some, some, a lot,only fair,oppose,oppose,sometimes,democrat,liberal,female,living with partner,living with partner,bisexual,no,males,16,20,NA,no,NA,NA,no,NA,NA,no,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,2,own,fifty to seventy five,nothing,not at all mportant,no,acceptance,only a little,only a little,only a little,3,1,3,3,2,1,1,14,50,2,2,2,1,2,1,10,33,3,3,2,3,2,13,80,NA,1,NA,1,1,NA,NA,NA,no,NA,a little,no,a few,2,2,2,2,2,2,1,13,29,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,yes,NA,no,no,NA,no,NA,yes,full time,somewhat accepting,none,yes,no
not too happy,very unfavorable,very unfavorable,very unfavorable,mostly unfavorable, some, a lot, a lot, some, a lot,good,strongly oppose,oppose,nearly always,independent,moderate,female,married,married,bisexual,no,mostly males,9,9,25,no,NA,NA,no,NA,NA,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,2,own,fifty to seventy five,agnostic,not at all mportant,NA,religeous rights,only a little,only a little,only a little,3,1,3,3,2,1,1,14,50,2,1,3,2,2,1,11,42,3,3,2,1,1,10,50,1,1,1,1,1,2,7,8,no,NA,a lot,no,a few,1,1,1,1,1,1,1,7,0,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,NA,legally married,NA,no,NA,no,NA,no,unemployed,NA,NA,yes,no
not too happy,very unfavorable,very unfavorable,mostly unfavorable,mostly unfavorable, some, some, some, some, some,poor,oppose,oppose,always,independent,conservative,female,married,married,bisexual,no,mostly males,12,17,NA,no,NA,NA,no,NA,NA,no,eighteen to twenty four,eighteen to twenty four,bachelor or higher,bachelor or higher,white,no,3,own,fifty to seventy five,other,not at all mportant,NA,discrimination,only a little,only a little,only a little,3,1,3,3,2,2,1,15,57,3,3,3,3,3,2,17,92,3,3,3,3,2,14,90,1,1,2,1,2,1,8,17,no,NA,some,no,none,1,2,2,2,2,2,2,13,29,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,NA,legally married,NA,no,NA,no,NA,no,full time,somewhat accepting,none,no,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, a lot, some, some, some, a lot,good,strongly oppose,strongly oppose,always,democrat,very liberal,male,living with partner,living with partner,gay,no,males,11,18,25,yes,no,stronger,yes,no,grew stronger,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,3,own,more than hundred fifty,other,somewhat important,NA,religeous rights,only a little,none at all,none at all,3,1,3,3,2,1,2,15,57,3,2,3,3,2,1,14,67,3,3,3,1,1,11,60,NA,1,3,1,1,1,NA,NA,no,NA,some,no,some,1,1,2,1,1,2,1,9,10,2,1,1,1,2,3,10,33,3,3,3,3,3,2,17,92,regularly,yes,yes,NA,no,no,NA,no,NA,NA,full time,very accepting,most or all,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,only fair,strongly oppose,strongly oppose,sometimes,democrat,liberal,female,never married,alone,bisexual,no,mostly males,19,20,20,yes,no,no change,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,some college,some college,NA,yes,5,own,less than twenty,protestant,somewhat important,NA,legal rights,only a little,only a little,only a little,3,1,2,2,1,2,1,12,36,3,2,3,2,3,2,15,75,3,1,2,1,2,9,40,1,1,1,1,1,1,6,0,no,NA,some,no,a few,1,2,2,1,2,2,2,12,24,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,yes,yes,NA,NA,yes,yes,NA,yes,NA,full time,very accepting,some,yes,yes
not too happy,mostly unfavorable,mostly unfavorable,very unfavorable,very unfavorable, a lot, some, a lot, some, a lot,only fair,strongly oppose,strongly oppose,nearly always,democrat,liberal,male,never married,alone,gay,no,mostly males,10,13,22,yes,no,no change,yes,no,grew stronger,yes,sixty five to seventy four,sixty five plus,bachelor or higher,bachelor or higher,white,yes,1,own,forty to fifty,nothing,not too  important,yes,discrimination,only a little,only a little,only a little,3,1,3,3,2,1,1,14,50,2,2,3,2,3,2,14,67,2,3,2,1,1,9,40,1,1,3,1,1,2,9,25,yes,a lot,a little,no,a few,1,2,2,1,2,2,2,12,24,2,2,2,2,1,2,11,42,3,2,3,2,2,2,14,67,not regularly,yes,not sure,NA,NA,yes,no,NA,NA,NA,part time,very accepting,some,yes,no
